"","ppm","state","USA_region","source","mgstr","bulk_purchase","fac_mgstr"
"82",0.5,"California","West","Heard it",5,"Not Bulk","5"
"83",0.5,"Oregon","West","Personal",10,"Not Bulk","10"
"84",1,"Oregon","West","Personal",10,"Not Bulk","10"
"85",0.3,"California","West","Personal",10,"Not Bulk","10"
"86",1.644,"USA","Other/Unknown","Internet",10,"Not Bulk","10"
"87",0.768,"USA","Other/Unknown","Internet",10,"Bulk","10"
"88",0.699,"USA","Other/Unknown","Internet",10,"Not Bulk","10"
"89",1.5,"Louisiana","South","No Input",10,"Not Bulk","10"
"90",1,"Ohio","Midwest","No Input",5,"Not Bulk","5"
"91",1,"Washington","West","No Input",10,"Not Bulk","10"
"92",1,"Indiana","Midwest","No Input",5,"Not Bulk","5"
"93",1,"Florida","South","No Input",5,"Not Bulk","5"
"94",1.6,"Virginia","South","No Input",5,"Not Bulk","5"
"95",1.2,"Illinois","Midwest","Heard it",10,"Not Bulk","10"
"96",1.092,"USA","Other/Unknown","Internet",10,"Bulk","10"
"97",1.238,"USA","Other/Unknown","Internet",10,"Not Bulk","10"
"98",0.751,"USA","Other/Unknown","Internet",10,"Bulk","10"
"99",2,"Oregon","West","No Input",5,"Not Bulk","5"
"100",0.5,"Wisconsin","Midwest","No Input",10,"Not Bulk","10"
"101",1,"Ohio","Midwest","Personal",40,"Not Bulk","40"
"102",1,"Massachusetts","Northeast","No Input",10,"Not Bulk","10"
"103",0.5,"Oregon","West","Heard it",40,"Bulk","40"
"104",2,"Texas","South","Heard it",5,"Not Bulk","5"
"105",1,"Nevada","West","Heard it",5,"Bulk","5"
"106",0.5,"Nevada","West","Heard it",10,"Not Bulk","10"
"107",1,"Nevada","West","Heard it",10,"Bulk","10"
"108",1,"Nevada","West","Heard it",10,"Bulk","10"
"109",1,"Indiana","Midwest","Heard it",10,"Not Bulk","10"
"110",2,"Virginia","South","No Input",5,"Not Bulk","5"
"111",0.818,"USA","Other/Unknown","Internet",10,"Bulk","10"
"112",0.817,"USA","Other/Unknown","Internet",10,"Bulk","10"
"113",1.254,"USA","Other/Unknown","Internet",10,"Bulk","10"
"114",0.2,"Arizona","West","Personal",10,"Not Bulk","10"
"115",0.2,"California","West","Personal",10,"Not Bulk","10"
"116",1,"Oregon","West","No Input",10,"Bulk","10"
"117",0.1,"Wisconsin","Midwest","No Input",10,"Not Bulk","10"
"118",0.4,"USA","Other/Unknown","Heard it",10,"Not Bulk","10"
"119",0.5,"Pennsylvania","Northeast","No Input",10,"Bulk","10"
"120",1,"California","West","No Input",10,"Not Bulk","10"
"121",0.5,"Oklahoma","South","No Input",10,"Not Bulk","10"
"122",0.5,"Alabama","South","No Input",10,"Not Bulk","10"
"123",1,"Colorado","West","No Input",10,"Not Bulk","10"
"124",1.2,"Alaska","West","Heard it",10,"Not Bulk","10"
"125",0.6,"Delaware","South","No Input",5,"Bulk","5"
"126",0.5,"Georgia","South","Personal",40,"Not Bulk","40"
"127",1,"Maine","Northeast","No Input",10,"Not Bulk","10"
"128",0.1,"Kentucky","South","No Input",10,"Not Bulk","10"
"129",2,"Colorado","West","Heard it",5,"Not Bulk","5"
"130",1,"California","West","No Input",5,"Not Bulk","5"
"131",1,"Virginia","South","Heard it",5,"Not Bulk","5"
"132",0.7,"Nevada","West","No Input",10,"Not Bulk","10"
"133",0.6,"Ohio","Midwest","Personal",10,"Not Bulk","10"
"134",0.6,"Tennessee","South","No Input",10,"Not Bulk","10"
"135",0.6,"Pennsylvania","Northeast","Heard it",10,"Not Bulk","10"
"136",1,"South Dakota","Midwest","Personal",5,"Not Bulk","5"
"137",0.3,"Michigan","Midwest","No Input",10,"Not Bulk","10"
"138",0.5,"Pennsylvania","Northeast","Internet",10,"Not Bulk","10"
"139",2,"Massachusetts","Northeast","Personal",5,"Not Bulk","5"
"140",0.6,"Nevada","West","No Input",5,"Bulk","5"
"141",0.3,"Alaska","West","No Input",10,"Bulk","10"
"142",0.4,"Florida","South","No Input",5,"Bulk","5"
"143",1,"New York","Northeast","Heard it",10,"Not Bulk","10"
"144",1,"Ohio","Midwest","No Input",10,"Not Bulk","10"
"145",0.1,"Wisconsin","Midwest","No Input",10,"Not Bulk","10"
"146",2,"New Jersey","Northeast","Heard it",5,"Bulk","5"
"147",1,"Washington","West","Personal",5,"Not Bulk","5"
"148",1,"South Carolina","South","Personal",10,"Bulk","10"
"149",1,"Texas","South","Personal",10,"Not Bulk","10"
"150",1.2,"Illinois","Midwest","Personal",10,"Not Bulk","10"
"151",0.8,"Washington","West","Personal",10,"Not Bulk","10"
"152",1,"Maine","Northeast","Personal",10,"Not Bulk","10"
"153",0.5,"New York","Northeast","No Input",10,"Not Bulk","10"
"154",1,"West Virginia","South","Personal",10,"Not Bulk","10"
"155",1,"Michigan","Midwest","No Input",5,"Not Bulk","5"
"156",0.5,"Arizona","West","Personal",10,"Not Bulk","10"
"157",0.8,"Georgia","South","No Input",10,"Not Bulk","10"
"158",1,"California","West","Personal",5,"Not Bulk","5"
"159",1.4,"Washington","West","Heard it",5,"Not Bulk","5"
"160",0.8,"California","West","Personal",5,"Not Bulk","5"
"161",0.4,"California","West","Personal",10,"Not Bulk","10"
"162",0.15,"California","West","No Input",10,"Bulk","10"
"163",0.8,"Florida","South","No Input",10,"Not Bulk","10"
"164",1,"Arkansas","South","No Input",10,"Not Bulk","10"
"165",1.5,"Arkansas","South","No Input",10,"Not Bulk","10"
"166",1,"Idaho","West","No Input",5,"Bulk","5"
"167",1,"Kansas","Midwest","Personal",5,"Not Bulk","5"
"168",0.6,"Illinois","Midwest","Personal",10,"Not Bulk","10"
"169",0.2,"California","West","Personal",5,"Bulk","5"
"170",1,"Arkansas","South","No Input",10,"Bulk","10"
"171",2,"California","West","No Input",5,"Bulk","5"
"172",0.7,"Kentucky","South","Personal",10,"Not Bulk","10"
"173",0.6,"Indiana","Midwest","No Input",10,"Bulk","10"
"174",0.5,"Nevada","West","No Input",10,"Not Bulk","10"
"175",1,"North Carolina","South","Personal",10,"Not Bulk","10"
"176",0.6,"Florida","South","Heard it",10,"Not Bulk","10"
"177",1,"Florida","South","Personal",10,"Not Bulk","10"
"178",2,"West Virginia","South","Heard it",5,"Not Bulk","5"
"179",0.5,"California","West","Heard it",10,"Not Bulk","10"
"180",1,"California","West","Personal",10,"Bulk","10"
"181",1.6,"Pennsylvania","Northeast","Personal",5,"Not Bulk","5"
"182",0.5,"Pennsylvania","Northeast","No Input",10,"Not Bulk","10"
"183",1,"Florida","South","No Input",5,"Not Bulk","5"
"184",2,"Oregon","West","Personal",5,"Not Bulk","5"
"185",2,"Ohio","Midwest","Personal",5,"Not Bulk","5"
"186",0.25,"Washington","West","No Input",40,"Not Bulk","40"
"187",1,"Alabama","South","No Input",10,"Not Bulk","10"
"188",2,"Alabama","South","No Input",5,"Bulk","5"
"189",0.5,"Florida","South","No Input",40,"Not Bulk","40"
"190",0.3,"Washington","West","Personal",10,"Not Bulk","10"
"191",0.25,"Minnesota","Midwest","No Input",40,"Not Bulk","40"
"192",0.5,"Alabama","South","No Input",10,"Not Bulk","10"
"193",0.5,"Indiana","Midwest","Internet",10,"Not Bulk","10"
"194",1,"Georgia","South","Heard it",10,"Bulk","10"
"195",0.5,"California","West","Heard it",10,"Not Bulk","10"
"196",0.5,"Arizona","West","Personal",10,"Not Bulk","10"
"197",1,"Georgia","South","Heard it",10,"Bulk","10"
"198",1,"California","West","Personal",10,"Bulk","10"
"199",2,"Ohio","Midwest","No Input",5,"Not Bulk","5"
"200",2,"California","West","Personal",5,"Bulk","5"
"201",1,"New York","Northeast","Heard it",10,"Not Bulk","10"
"202",1.6,"New York","Northeast","No Input",5,"Not Bulk","5"
"203",2,"New York","Northeast","Internet",5,"Not Bulk","5"
"204",0.8,"North Carolina","South","Personal",10,"Not Bulk","10"
"205",1,"North Carolina","South","Personal",10,"Not Bulk","10"
"206",0.1,"Nevada","West","Personal",10,"Not Bulk","10"
"207",1,"Indiana","Midwest","Personal",10,"Not Bulk","10"
"208",0.8,"Michigan","Midwest","Personal",5,"Not Bulk","5"
"209",0.2,"California","West","Heard it",10,"Bulk","10"
"210",1,"Louisiana","South","Personal",10,"Not Bulk","10"
"211",0.5,"California","West","Personal",10,"Not Bulk","10"
"212",1,"Oregon","West","Personal",5,"Not Bulk","5"
"213",1,"Connecticut","Northeast","Heard it",10,"Bulk","10"
"214",1,"Arizona","West","Heard it",10,"Not Bulk","10"
"215",1,"Florida","South","No Input",10,"Not Bulk","10"
"216",2,"Pennsylvania","Northeast","Personal",10,"Not Bulk","10"
"217",0.8,"Alabama","South","Heard it",10,"Bulk","10"
"218",1.6,"Wisconsin","Midwest","Personal",5,"Not Bulk","5"
"219",0.5,"California","West","Personal",5,"Not Bulk","5"
"220",0.9,"Nevada","West","Internet",10,"Not Bulk","10"
"221",1,"New York","Northeast","No Input",10,"Not Bulk","10"
"222",1,"Nevada","West","Heard it",5,"Not Bulk","5"
"223",1.5,"Massachusetts","Northeast","Heard it",10,"Not Bulk","10"
"224",0.35,"California","West","Heard it",5,"Not Bulk","5"
"225",0.7,"Nevada","West","No Input",10,"Not Bulk","10"
"226",0.7,"Nevada","West","No Input",10,"Not Bulk","10"
"227",0.8,"Florida","South","No Input",5,"Not Bulk","5"
"228",0.6,"Michigan","Midwest","Personal",5,"Not Bulk","5"
"229",1,"Tennessee","South","No Input",5,"Not Bulk","5"
"230",0.9,"Florida","South","Personal",10,"Bulk","10"
"231",2,"New York","Northeast","No Input",5,"Not Bulk","5"
"232",0.9,"Alabama","South","Personal",10,"Not Bulk","10"
"233",0.5,"Wisconsin","Midwest","Personal",10,"Not Bulk","10"
"234",1.6,"Alabama","South","Personal",5,"Not Bulk","5"
"235",0.5,"California","West","No Input",10,"Not Bulk","10"
"236",0.4,"California","West","Personal",10,"Not Bulk","10"
"237",0.5,"California","West","No Input",10,"Not Bulk","10"
"238",1.5,"Pennsylvania","Northeast","No Input",10,"Not Bulk","10"
"239",0.7,"Colorado","West","Heard it",10,"Not Bulk","10"
"240",0.15,"California","West","Personal",10,"Not Bulk","10"
"241",0.3,"California","West","No Input",10,"Not Bulk","10"
"242",0.7,"Alabama","South","Personal",10,"Not Bulk","10"
"243",1,"Arkansas","South","Personal",10,"Not Bulk","10"
"244",0.6,"Ohio","Midwest","Internet",10,"Not Bulk","10"
"245",1,"Virginia","South","No Input",10,"Not Bulk","10"
"246",1,"Pennsylvania","Northeast","Internet",10,"Bulk","10"
"247",1,"California","West","No Input",5,"Not Bulk","5"
"248",1,"Alaska","West","No Input",10,"Not Bulk","10"
"249",0.875,"Tennessee","South","Heard it",40,"Not Bulk","40"
"250",0.6,"Indiana","Midwest","No Input",10,"Not Bulk","10"
"251",0.004,"Vermont","Northeast","No Input",5,"Not Bulk","5"
"252",0.5,"California","West","No Input",10,"Not Bulk","10"
"253",0.4,"California","West","No Input",10,"Not Bulk","10"
"254",0.2,"Hawaii","West","No Input",10,"Not Bulk","10"
"255",0.5,"California","West","No Input",10,"Not Bulk","10"
"256",0.6,"Florida","South","Personal",10,"Not Bulk","10"
"257",0.4,"Massachusetts","Northeast","Heard it",5,"Not Bulk","5"
"258",1,"South Carolina","South","No Input",10,"Not Bulk","10"
"259",1,"Washington","West","Heard it",5,"Bulk","5"
"260",0.5,"Michigan","Midwest","Personal",10,"Not Bulk","10"
"261",1,"Texas","South","No Input",10,"Not Bulk","10"
"262",1,"Minnesota","Midwest","Heard it",5,"Not Bulk","5"
"263",0.7,"Ohio","Midwest","Personal",10,"Not Bulk","10"
"264",0.5,"Michigan","Midwest","Personal",10,"Not Bulk","10"
"265",1,"Ohio","Midwest","No Input",5,"Not Bulk","5"
"266",1.5,"South Carolina","South","Heard it",10,"Not Bulk","10"
"267",1,"Washington","West","No Input",10,"Not Bulk","10"
"268",1,"Indiana","Midwest","Personal",10,"Not Bulk","10"
"269",1,"Ohio","Midwest","No Input",5,"Not Bulk","5"
"270",0.7,"Pennsylvania","Northeast","No Input",10,"Not Bulk","10"
"271",1,"Washington","West","Heard it",10,"Not Bulk","10"
"272",0.8,"Alabama","South","Heard it",10,"Not Bulk","10"
"273",1.2,"Washington","West","No Input",10,"Not Bulk","10"
"274",0.6,"Florida","South","Personal",10,"Not Bulk","10"
"275",1,"Illinois","Midwest","Heard it",10,"Not Bulk","10"
"276",1,"Arizona","West","Heard it",10,"Not Bulk","10"
"277",2,"Ohio","Midwest","Personal",10,"Bulk","10"
"278",0.5,"California","West","No Input",10,"Not Bulk","10"
"279",0.2,"Pennsylvania","Northeast","No Input",10,"Bulk","10"
"280",1.2,"Ohio","Midwest","Internet",10,"Bulk","10"
"281",0.8,"Alabama","South","No Input",10,"Not Bulk","10"
"282",0.5,"Michigan","Midwest","Personal",10,"Bulk","10"
"283",1.8,"Ohio","Midwest","Personal",5,"Not Bulk","5"
"284",0.5,"Arizona","West","No Input",10,"Bulk","10"
"285",1.5,"New York","Northeast","Personal",40,"Not Bulk","40"
"286",0.5,"California","West","Heard it",10,"Not Bulk","10"
"287",0.6,"Nevada","West","Personal",10,"Bulk","10"
"288",1,"Ohio","Midwest","Personal",5,"Not Bulk","5"
"289",1,"Washington","West","Heard it",10,"Not Bulk","10"
"290",1,"Louisiana","South","Heard it",10,"Not Bulk","10"
"291",1,"North Carolina","South","No Input",10,"Not Bulk","10"
"292",1.2,"North Carolina","South","Personal",10,"Not Bulk","10"
"293",1.4,"Alabama","South","No Input",5,"Not Bulk","5"
"294",1,"New York","Northeast","No Input",5,"Not Bulk","5"
"295",1,"Virginia","South","Heard it",10,"Not Bulk","10"
"296",0.4,"Michigan","Midwest","No Input",10,"Not Bulk","10"
"297",0.5,"Kentucky","South","Heard it",10,"Not Bulk","10"
"298",2,"New Hampshire","Northeast","Personal",10,"Not Bulk","10"
"299",0.7,"Maryland","South","Heard it",10,"Not Bulk","10"
"300",0.1,"Ohio","Midwest","No Input",10,"Not Bulk","10"
"301",1,"Arizona","West","No Input",5,"Not Bulk","5"
"302",0.5,"Washington","West","Personal",10,"Not Bulk","10"
"303",0.8,"North Carolina","South","No Input",10,"Not Bulk","10"
"304",0.5,"South Carolina","South","Heard it",10,"Not Bulk","10"
"305",1,"Tennessee","South","Heard it",40,"Not Bulk","40"
"306",1.5,"Tennessee","South","Heard it",40,"Not Bulk","40"
"307",1.75,"Tennessee","South","Personal",40,"Not Bulk","40"
"308",1.625,"Tennessee","South","No Input",40,"Not Bulk","40"
"309",1.625,"Tennessee","South","Heard it",40,"Not Bulk","40"
"310",2,"Tennessee","South","Heard it",40,"Not Bulk","40"
"311",1.75,"Tennessee","South","No Input",40,"Not Bulk","40"
"312",0.5,"Texas","South","Heard it",10,"Not Bulk","10"
"313",0.125,"Wisconsin","Midwest","No Input",40,"Not Bulk","40"
"314",1.2,"Alabama","South","Personal",5,"Not Bulk","5"
"315",1,"Maryland","South","Personal",10,"Not Bulk","10"
"316",1,"Connecticut","Northeast","Heard it",10,"Not Bulk","10"
"317",1,"Oklahoma","South","No Input",10,"Not Bulk","10"
"318",2,"Texas","South","Personal",5,"Not Bulk","5"
"319",1,"Washington","West","Heard it",10,"Not Bulk","10"
"320",0.25,"Oregon","West","No Input",40,"Not Bulk","40"
"321",0.5,"Ohio","Midwest","No Input",40,"Bulk","40"
"322",0.5,"Ohio","Midwest","Internet",40,"Bulk","40"
"323",2,"California","West","No Input",10,"Not Bulk","10"
"324",0.8,"California","West","Personal",10,"Bulk","10"
"325",1,"Oregon","West","No Input",5,"Bulk","5"
"326",1,"Louisiana","South","No Input",40,"Not Bulk","40"
"327",0.25,"New York","Northeast","Personal",40,"Not Bulk","40"
"328",1,"Mississippi","South","Personal",10,"Not Bulk","10"
"329",0.5,"California","West","No Input",10,"Not Bulk","10"
"330",0.3,"Utah","West","Personal",10,"Not Bulk","10"
"331",0.5,"Pennsylvania","Northeast","Personal",10,"Not Bulk","10"
"332",0.4,"North Carolina","South","Heard it",10,"Bulk","10"
"333",1,"California","West","Personal",5,"Not Bulk","5"
"334",0.5,"California","West","No Input",10,"Not Bulk","10"
"335",0.25,"Texas","South","No Input",40,"Not Bulk","40"
"336",2,"Indiana","Midwest","No Input",5,"Not Bulk","5"
"337",0.125,"New York","Northeast","No Input",40,"Not Bulk","40"
"338",1,"California","West","No Input",5,"Not Bulk","5"
"339",1,"Nevada","West","No Input",5,"Not Bulk","5"
"340",2,"Washington","West","Personal",5,"Not Bulk","5"
"341",0.5,"California","West","No Input",10,"Not Bulk","10"
"342",1,"Illinois","Midwest","Personal",40,"Not Bulk","40"
"343",1,"Arkansas","South","Personal",10,"Bulk","10"
"344",0.5,"Texas","South","Personal",10,"Not Bulk","10"
"345",0.375,"Kansas","Midwest","No Input",40,"Bulk","40"
"346",1,"Indiana","Midwest","Personal",5,"Not Bulk","5"
"347",1,"Ohio","Midwest","Personal",10,"Bulk","10"
"348",1,"Oregon","West","No Input",40,"Not Bulk","40"
"349",1,"Kentucky","South","No Input",10,"Not Bulk","10"
"350",1,"Virginia","South","Heard it",10,"Not Bulk","10"
"351",0.3,"California","West","No Input",10,"Not Bulk","10"
"352",0.4,"Texas","South","Heard it",10,"Bulk","10"
"353",1,"Utah","West","Personal",10,"Not Bulk","10"
"354",0.5,"Utah","West","No Input",10,"Not Bulk","10"
"355",2,"Ohio","Midwest","No Input",5,"Not Bulk","5"
"356",0.5,"Florida","South","No Input",10,"Bulk","10"
"357",0.1,"Ohio","Midwest","Heard it",10,"Not Bulk","10"
"358",1,"Idaho","West","Personal",10,"Not Bulk","10"
"359",0.5,"Missouri","Midwest","Heard it",10,"Not Bulk","10"
"360",0.6,"Missouri","Midwest","Personal",5,"Not Bulk","5"
"361",0.3,"Texas","South","Personal",10,"Not Bulk","10"
"362",1,"Washington","West","Personal",5,"Not Bulk","5"
"363",1,"California","West","Heard it",5,"Not Bulk","5"
"364",0.1,"Pennsylvania","Northeast","Personal",5,"Not Bulk","5"
"365",2,"North Carolina","South","No Input",10,"Not Bulk","10"
"366",0.5,"New Jersey","Northeast","No Input",40,"Not Bulk","40"
"367",0.5,"Florida","South","Personal",10,"Not Bulk","10"
"368",1,"North Carolina","South","Personal",10,"Not Bulk","10"
"369",1.2,"North Carolina","South","Personal",10,"Not Bulk","10"
"370",1,"North Carolina","South","Personal",10,"Bulk","10"
"371",1,"Texas","South","Personal",10,"Not Bulk","10"
"372",0.4,"California","West","Heard it",5,"Not Bulk","5"
"373",1.4,"California","West","Personal",5,"Not Bulk","5"
"374",2,"Georgia","South","Heard it",5,"Not Bulk","5"
"375",1,"Maine","Northeast","Heard it",10,"Not Bulk","10"
"376",0.5,"Washington","West","No Input",40,"Not Bulk","40"
"377",0.5,"California","West","No Input",10,"Not Bulk","10"
"378",0.3,"North Carolina","South","No Input",10,"Bulk","10"
"379",1,"Nebraska","Midwest","No Input",5,"Not Bulk","5"
"380",0.75,"New York","Northeast","No Input",40,"Not Bulk","40"
"381",0.1,"Arizona","West","No Input",10,"Not Bulk","10"
"382",0.1,"Florida","South","Personal",10,"Bulk","10"
"383",0.4,"New York","Northeast","Personal",10,"Not Bulk","10"
"384",0.7,"Florida","South","Personal",10,"Not Bulk","10"
"385",0.3,"California","West","No Input",10,"Not Bulk","10"
"386",0.5,"Connecticut","Northeast","Heard it",10,"Not Bulk","10"
"387",1,"Wisconsin","Midwest","Personal",10,"Not Bulk","10"
"388",0.4,"Texas","South","Personal",10,"Bulk","10"
"389",0.6,"Pennsylvania","Northeast","Internet",10,"Not Bulk","10"
"390",0.2,"Oregon","West","Heard it",10,"Not Bulk","10"
"391",0.6,"Indiana","Midwest","No Input",10,"Not Bulk","10"
"392",0.7,"Wisconsin","Midwest","Heard it",10,"Bulk","10"
"393",2,"California","West","No Input",5,"Not Bulk","5"
"394",1,"New York","Northeast","Personal",5,"Not Bulk","5"
"395",0.7,"California","West","Personal",10,"Not Bulk","10"
"396",0.7,"Georgia","South","Heard it",10,"Not Bulk","10"
"397",0.1,"Arizona","West","Personal",10,"Bulk","10"
"398",1,"California","West","Heard it",10,"Not Bulk","10"
"399",2,"New York","Northeast","Personal",5,"Bulk","5"
"400",0.5,"Michigan","Midwest","Personal",10,"Not Bulk","10"
"401",0.6,"Nevada","West","Heard it",10,"Not Bulk","10"
"402",0.6,"Ohio","Midwest","Heard it",10,"Not Bulk","10"
"403",0.6,"Florida","South","Heard it",10,"Not Bulk","10"
"404",1,"Michigan","Midwest","Heard it",10,"Bulk","10"
"405",1.5,"Missouri","Midwest","Heard it",10,"Bulk","10"
"406",2,"Indiana","Midwest","No Input",5,"Not Bulk","5"
"407",0.2,"California","West","Personal",5,"Not Bulk","5"
"408",0.025,"Virginia","South","Heard it",40,"Not Bulk","40"
"409",2,"Oregon","West","Personal",5,"Not Bulk","5"
"410",1,"California","West","No Input",5,"Not Bulk","5"
"411",0.5,"Wisconsin","Midwest","Personal",10,"Not Bulk","10"
"412",0.8,"Florida","South","No Input",10,"Not Bulk","10"
"413",0.6,"New York","Northeast","No Input",5,"Bulk","5"
"414",0.8,"Kentucky","South","No Input",10,"Not Bulk","10"
"415",1,"Washington","West","Heard it",10,"Not Bulk","10"
"416",0.5,"Pennsylvania","Northeast","No Input",40,"Not Bulk","40"
"417",0.3,"Michigan","Midwest","Internet",10,"Bulk","10"
"418",0.8,"Maryland","South","Heard it",10,"Bulk","10"
"419",2,"Texas","South","No Input",10,"Not Bulk","10"
"420",0.5,"Michigan","Midwest","Personal",10,"Not Bulk","10"
"421",1,"Nevada","West","Personal",10,"Not Bulk","10"
"422",0.9,"New York","Northeast","Personal",10,"Not Bulk","10"
"423",2,"South Carolina","South","Personal",5,"Not Bulk","5"
"424",0.5,"New York","Northeast","Heard it",10,"Not Bulk","10"
"425",0.5,"California","West","Personal",10,"Not Bulk","10"
"426",0.5,"Indiana","Midwest","Personal",10,"Not Bulk","10"
"427",0.8,"Florida","South","No Input",10,"Not Bulk","10"
"428",0.4,"Nebraska","Midwest","Personal",10,"Bulk","10"
"429",1,"Maryland","South","Personal",10,"Not Bulk","10"
"430",0.5,"Michigan","Midwest","No Input",10,"Bulk","10"
"431",0.2,"Ohio","Midwest","Personal",5,"Not Bulk","5"
"432",1,"Florida","South","Personal",10,"Not Bulk","10"
"433",0.5,"Florida","South","Personal",10,"Not Bulk","10"
"434",0.5,"Michigan","Midwest","Personal",10,"Not Bulk","10"
"435",0.3,"Maryland","South","No Input",10,"Not Bulk","10"
"436",0.7,"Maryland","South","Personal",10,"Bulk","10"
